id,iconid,name,label,cate,price,value,description,durability,stackable,disappear,anim,script,lv,joblv,sex,job,int,effecttime,Corleone,Tattaglia,Stracci,Cuneo,Barzi,police,ambulance,weight,limit,rare,canRemove
1000000,1000000,？,？,NONE,100,0,測試用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000001,1000001,水,水,POTION,100,200,普通的水，沒甚?特別,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000002,1000002,麵包,麵包,FOOD,100,200,"麵包,吃下去能補充血量",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000003,1000003,香蕉,香蕉,FOOD,100,150,香蕉，吃下去能補充血量,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000004,1000004,魚肉,魚肉,FOOD,100,50,魚肉，可以生吃，吃下去能補充少量血量，不過…,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000005,1000004,鱷魚肉,鱷魚肉,FOOD,100,50,鱷魚肉，可以生吃，吃下去能補充少量血量，不過…,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000006,1000006,破爛的衣物,破爛的衣物,NONE,100,0,破爛的衣物，臭臭的，不知道可以用來幹什麼？,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000007,1000007,食物殘渣,食物殘渣,FOOD,100,15,食物殘渣，吃下去能補充少量血量，不過…,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
1000008,1000008,繃帶,繃帶,NONE,100,0,醫生的物品,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000009,1000009,急救包,急救包,NONE,100,0,醫生的物品,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000010,1000010,寶特瓶,寶特瓶,NONE,100,0,垃圾桶常見的玩意，也許有愛好者喜歡收集,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000011,1000011,藍色太陽魚,藍色太陽魚,FISH,10,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000012,1000011,肥桃花魚,肥桃花魚,FISH,8,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000013,1000011,甘子魚,甘子魚,FISH,9,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000014,1000011,金鯽魚,金鯽魚,FISH,12,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000015,1000011,公魚,公魚,FISH,10,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000016,1000011,桃花魚,桃花魚,FISH,11,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000017,1000011,泥鰍,泥鰍,FISH,5,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000018,1000011,土附魚,土附魚,FISH,6,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000019,1000011,沙丁魚,沙丁魚,FISH,12,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000020,1000011,青魚,青魚,FISH,10,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000021,1000011,叉牙魚,叉牙魚,FISH,8,1,魚類的一種，一般的魚竿都能應付,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000022,1000011,陸封鮭,陸封鮭,FISH,10,2,魚類的一種，不是那麼好釣的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000023,1000011,鰷魚,鰷魚,FISH,10,2,魚類的一種，不是那麼好釣的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000024,1000011,銀鯽魚,銀鯽魚,FISH,10,2,魚類的一種，不是那麼好釣的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000025,1000011,豚魚,豚魚,FISH,9,2,魚類的一種，不是那麼好釣的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000026,1000011,蓑魚,蓑魚,FISH,10,2,魚類的一種，不是那麼好釣的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000027,1000011,黑巖魚,黑巖魚,FISH,9,2,魚類的一種，不是那麼好釣的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
